name,team,cmppct,tdpct,intpct,skpct,pacr,adjepacpoe,epaatt,anyatt,passrtg,year,mvp
Mason Rudolph,PIT,62.19081272,4.593639576,3.180212014,5.033557047,0.772090989,0.041231782,-0.061328318,5.020134228,81.95671378,2019,0
Lamar Jackson,BAL,64.34782609,8.043478261,1.739130435,5.544147844,0.829847909,0.16850054,0.289965856,7.691991786,106.9021739,2019,1
Baker Mayfield,CLE,59.36329588,4.119850187,3.93258427,6.968641115,0.846494138,0.048779762,-0.018394356,5.290940767,78.76092385,2019,0
Josh Allen,BUF,58.18540434,3.944773176,1.775147929,7.481751825,0.7173727,0.049036724,-0.032673378,5.627737226,83.87984878,2019,0
Sam Darnold,NYJ,61.9047619,4.308390023,2.947845805,6.962025316,0.805326232,0.048204967,-0.039624114,5.5,84.32067271,2019,0
David Blough,DET,54.02298851,2.298850575,3.448275862,7.446808511,0.663072776,-0.050815164,-0.250952169,3.670212766,63.96072797,2019,0
Kyler Murray,ARI,64.39114391,3.6900369,2.21402214,8.13559322,0.917879162,0.055845512,0.003390109,5.547457627,87.43081181,2019,0
Dwayne Haskins,WAS,58.62068966,3.448275862,3.448275862,12.5,0.77955454,-0.001567617,-0.253152196,4.25,76.07758621,2019,0
Gardner Minshew,JAX,60.63829787,4.468085106,1.276595745,6.560636183,0.942108295,0.031064441,-0.029209559,6.435387674,91.18794326,2019,0
Devlin Hodges,PIT,62.5,3.125,5,8.571428571,0.904680851,0.044262243,-0.137142442,4.005714286,71.43229167,2019,0
Drew Lock,DEN,64.1025641,4.487179487,1.923076923,3.105590062,0.957746479,0.083772525,0.087980304,6.204968944,89.69017094,2019,0
Daniel Jones,NYG,61.87363834,5.22875817,2.614379085,7.645875252,0.820547574,0.039179913,-0.090115157,5.376257545,87.65885984,2019,0
Tom Brady,NE,66.18705036,4.460431655,2.014388489,3.068340307,0.996994741,0.124637012,0.167496294,7.171548117,95.53657074,2018,0
Drew Brees,NO,73.72134039,6.349206349,1.234567901,3.571428571,1.103766707,0.201093066,0.30104932,8.164965986,112.9151969,2018,0
